,Open_Time,Open,High,Low,Close,Volume,MA_9,MA_27,20sma,sDev,LowerBandBB,UpperBandBB,H-L,H-PC,L-PC,TR,ATR_20,UpperBandKCLow,LowerBandKCLow,UpperBandKCMid,LowerBandKCMid,UpperBandKCHigh,LowerBandKCHigh,preSqueeze,originalSqueeze,extrSqueeze,preSqueezeIn,preSqueezeOut,originalSqueezeIn,originalSqueezeOut,extrSqueezeIn,extrSqueezeOut,squeeze,max_high,min_low,MA_20,K,x,y,x2,xy,momo,val,dir,momentum,ACTION,Trigger
1204,20210520 18:59:00,1.0267,1.0303,1.0256,1.0289,1554.97377004,1.0209870670732828,1.0155884928445318,1.0154750000000001,0.006390360750871918,1.0026942784982562,1.028255721501744,0.0046999999999999265,0.0040000000000000036,0.0006999999999999229,0.0046999999999999265,0.00429499999999996,1.024065,1.0068850000000003,1.0219175,1.0090325000000002,1.01977,1.0111800000000002,False,False,False,False,False,False,False,False,False,green,1.0303,1.0038,1.016987893495732,2.034037893495732,1204,0.011881053252133844,1449616,14.30478811556915,0.8161672725785163,pos,up,cyan,NO,NO
1205,20210520 19:00:00,1.027,1.0304,1.0265,1.0304,2040.123060730776,1.0228696536586264,1.016646457641351,1.01663,0.006902104942084227,1.0028257901158315,1.0304342098841683,0.0039000000000000146,0.0015000000000000568,0.0023999999999999577,0.0039000000000000146,0.004254999999999953,1.02514,1.00812,1.0230124999999999,1.0102475,1.0208849999999998,1.012375,False,False,False,False,False,False,False,False,False,green,1.0304,1.0038,1.018265236972329,2.0353652369723294,1205,0.01271738151383528,1452025,15.324444724171512,0.9156547432183249,pos,up,cyan,NO,NO
1206,20210520 19:01:00,1.0289,1.0289,1.0248,1.0248,10257.877812791143,1.023255722926901,1.0172288535241116,1.0174150000000002,0.00689341982198002,1.0036281603560402,1.0312018396439602,0.0040999999999999925,0.0015000000000000568,0.005600000000000049,0.005600000000000049,0.004374999999999951,1.026165,1.0086650000000004,1.0239775000000002,1.0108525000000002,1.0217900000000002,1.0130400000000002,False,False,False,False,False,False,False,False,False,green,1.0304,1.0038,1.0188875953559167,2.035987595355917,1206,0.0068062023220414325,1454436,8.208280000381968,0.9051212982854773,pos,dn,blue,NO,NO
1207,20210520 19:02:00,1.024,1.025,1.02,1.025,5706.7871081,1.0236045783415206,1.0177839354152465,1.01821,0.006800224454496922,1.0046095510910062,1.0318104489089939,0.004999999999999893,0.00019999999999997797,0.0047999999999999154,0.004999999999999893,0.004519999999999946,1.02725,1.0091700000000001,1.02499,1.01143,1.02273,1.0136900000000002,False,False,False,False,False,False,False,False,False,green,1.0304,1.0038,1.0194697291315438,2.0365697291315437,1207,0.006715135434228081,1456849,8.105168469113295,0.8856607664739613,pos,dn,blue,NO,NO
1208,20210520 19:03:00,1.0207,1.026,1.0207,1.0226,8231.94881608,1.0234036626732164,1.018127940028443,1.01879,0.00664584555627436,1.0054983088874514,1.0320816911125488,0.005300000000000082,0.001000000000000112,0.0042999999999999705,0.005300000000000082,0.004689999999999961,1.02817,1.0094100000000001,1.025825,1.0117550000000002,1.02348,1.0141000000000002,False,False,False,False,False,False,False,False,False,green,1.0304,1.0038,1.019767850166635,2.036867850166635,1208,0.004166074916682527,1459264,5.032618499352493,0.8298410336125717,pos,dn,blue,NO,NO
1209,20210520 19:04:00,1.0209,1.0209,1.0202,1.0202,1119.48654026,1.022762930138573,1.0182759443121256,1.01961,0.005633630221592328,1.0083427395568152,1.0308772604431846,0.0006999999999999229,0.0017000000000000348,0.0023999999999999577,0.0023999999999999577,0.004449999999999965,1.0285099999999998,1.01071,1.026285,1.012935,1.02406,1.0151599999999998,False,False,False,False,False,False,False,False,False,green,1.0304,1.0059,1.0198090072936221,2.037959007293622,1209,0.0012204963531889934,1461681,1.475580091005493,0.6490313433353219,pos,dn,blue,NO,NO
1210,20210520 19:05:00,1.0226,1.0234,1.016,1.016,10049.58810549,1.0214103441108584,1.0181133768612596,1.01973,0.00552335710271972,1.0086832857945607,1.0307767142054394,0.007400000000000073,0.0032000000000000917,0.0041999999999999815,0.007400000000000073,0.0043299999999999676,1.02839,1.0110700000000001,1.026225,1.013235,1.02406,1.0154,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0194462446942294,2.0392962446942295,1210,-0.0036481223471147572,1464100,-4.414228040008856,0.46539060315554104,pos,dn,blue,NO,NO
1211,20210520 19:06:00,1.018,1.0194,1.0125,1.0149,4363.199257567031,1.0201082752886867,1.0178838499425982,1.0197249999999998,0.005527907665459744,1.0086691846690803,1.0307808153309193,0.006900000000000128,0.0034000000000000696,0.0035000000000000586,0.006900000000000128,0.004509999999999981,1.0287449999999998,1.0107049999999997,1.0264899999999997,1.0129599999999999,1.0242349999999998,1.0152149999999998,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0190132690090647,2.038863269009065,1211,-0.0045316345045325335,1466521,-5.487809384988898,0.28263571578173163,pos,dn,blue,NO,NO
1212,20210520 19:07:00,1.0124,1.0133,1.0098,1.0103,12167.99431918,1.0181466202309495,1.0173421463752697,1.01931,0.005914825263242524,1.007480349473515,1.031139650526485,0.0035000000000000586,0.0015999999999998238,0.005099999999999882,0.005099999999999882,0.004499999999999971,1.0283099999999998,1.01031,1.02606,1.01256,1.0238099999999999,1.01481,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0181834338653442,2.038033433865344,1212,-0.008716716932672064,1468944,-10.564660922398541,0.06325544352661638,pos,dn,blue,NO,NO
1213,20210520 19:08:00,1.0129,1.0164,1.0129,1.0131,3923.38258424,1.0171372961847596,1.0170391359198931,1.0191050000000001,0.006061046895845645,1.0069829062083089,1.0312270937916914,0.0035000000000000586,0.006099999999999994,0.0025999999999999357,0.006099999999999994,0.004729999999999979,1.0285650000000002,1.0096450000000001,1.0262000000000002,1.01201,1.023835,1.0143750000000002,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0176992973067398,2.0375492973067395,1213,-0.005674648653369863,1471369,-6.8833488165376435,-0.09159201368036385,neg,dn,red,NO,NO
