,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
299,VID-USDT,VID-USDT,VID,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
300,LUNA-BTC,LUNA-BTC,LUNA,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,True,True
301,LUNA-USDT,LUNA-USDT,LUNA,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
302,SDT-USDT,SDT-USDT,SDT,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
303,MXW-USDT,MXW-USDT,MXW,USDT,USDT,USDS,0.1,0.0001,10000000000,99999999,0.1,0.0001,0.0001,0.1,False,True
304,SXP-BTC,SXP-BTC,SXP,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
305,SXP-USDT,SXP-USDT,SXP,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
306,VIDT-BTC,VIDT-BTC,VIDT,BTC,BTC,NFT,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
307,AKRO-BTC,AKRO-BTC,AKRO,BTC,BTC,Polkadot,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
308,AKRO-USDT,AKRO-USDT,AKRO,USDT,USDT,Polkadot,10,0.01,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
309,ROOBEE-BTC,ROOBEE-BTC,ROOBEE,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
310,BTT-TRX,BTT-TRX,BTT,TRX,TRX,ALTS,100,0.01,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
311,WIN-TRX,WIN-TRX,WIN,TRX,TRX,ALTS,10000,0.01,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
312,MAP-BTC,MAP-BTC,MAP,BTC,BTC,Polkadot,20,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
313,MAP-USDT,MAP-USDT,MAP,USDT,USDT,Polkadot,20,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
314,AMPL-BTC,AMPL-BTC,AMPL,BTC,BTC,DeFi,0.1,0.000001,10000000000,99999999,0.01,0.00000001,0.00000001,0.1,False,True
315,AMPL-USDT,AMPL-USDT,AMPL,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.01,0.00001,0.00001,0.1,False,True
316,DAG-USDT,DAG-USDT,DAG,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
317,POL-USDT,POL-USDT,POL,USDT,USDT,USDS,20,1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
318,ARX-USDT,ARX-USDT,ARX,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
319,NWC-BTC,NWC-BTC,NWC,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
320,NWC-USDT,NWC-USDT,NWC,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
321,BEPRO-BTC,BEPRO-BTC,BEPRO,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
322,BEPRO-USDT,BEPRO-USDT,BEPRO,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
